,gid_3
2593,PHL.5.9.44_1
2597,PHL.5.9.48_1
2600,PHL.5.9.51_1
2601,PHL.5.9.52_1
2605,PHL.5.9.13_1
2606,PHL.5.9.19_1
2607,PHL.5.9.43_1
2664,PHL.33.2.4_1
2675,PHL.33.2.10_1
2783,PHL.12.10.1_1
2785,PHL.12.10.3_1
2786,PHL.12.10.4_1
2788,PHL.12.10.6_1
2790,PHL.12.10.8_1
2793,PHL.12.10.11_1
2795,PHL.12.10.13_1
2796,PHL.12.10.14_1
2797,PHL.12.10.15_1
2798,PHL.12.10.16_1
2799,PHL.12.10.17_1
2800,PHL.12.10.18_1
2801,PHL.12.10.19_1
2802,PHL.12.10.20_1
2803,PHL.12.10.21_1
2806,PHL.12.10.24_1
2807,PHL.12.10.25_1
2808,PHL.12.10.26_1
2816,PHL.12.11.9_1
2825,PHL.12.11.3_1
2826,PHL.12.11.4_1
2827,PHL.12.11.5_1
2828,PHL.12.11.6_1
2831,PHL.12.12.1_1
2833,PHL.12.12.3_1
2835,PHL.12.12.5_1
2836,PHL.12.12.6_1
2837,PHL.12.12.7_1
2839,PHL.12.12.9_1
2843,PHL.12.12.17_1
2844,PHL.12.12.18_1
2846,PHL.12.12.20_1
2849,PHL.12.12.23_1
2851,PHL.12.12.25_1
2852,PHL.12.12.26_1
2853,PHL.12.12.27_1
2856,PHL.12.12.30_1
2857,PHL.12.12.31_1
2861,PHL.12.12.35_1
2862,PHL.12.12.36_1
2865,PHL.12.12.39_1
2866,PHL.12.12.40_1
2867,PHL.12.12.41_1
2868,PHL.12.12.42_1
2869,PHL.12.12.43_1
2870,PHL.12.12.44_1
2872,PHL.12.12.11_1
2873,PHL.12.12.12_1
2874,PHL.12.12.13_1
2875,PHL.12.12.14_1
2879,PHL.12.13.9_1
2880,PHL.12.13.10_1
2885,PHL.12.13.15_1
2891,PHL.12.13.4_1
2892,PHL.12.13.5_1
2893,PHL.12.13.6_1
2894,PHL.12.13.7_1
2895,PHL.12.14.62_1
2896,PHL.12.14.43_1
2897,PHL.12.14.5_1
2898,PHL.12.14.41_1
2899,PHL.12.14.1_1
2900,PHL.12.14.2_1
2901,PHL.12.14.3_1
2902,PHL.12.14.4_1
2904,PHL.12.14.7_1
2905,PHL.12.14.8_1
2906,PHL.12.14.10_1
2907,PHL.12.14.11_1
2908,PHL.12.14.12_1
2910,PHL.12.14.14_1
2911,PHL.12.14.15_1
2912,PHL.12.14.16_1
2915,PHL.12.14.19_1
2916,PHL.12.14.20_1
2917,PHL.12.14.21_1
2918,PHL.12.14.22_1
2919,PHL.12.14.23_1
2920,PHL.12.14.24_1
2921,PHL.12.14.25_1
2923,PHL.12.14.27_1
2924,PHL.12.14.28_1
2925,PHL.12.14.42_1
2926,PHL.12.14.29_1
2927,PHL.12.14.30_1
2928,PHL.12.14.31_1
2929,PHL.12.14.32_1
2930,PHL.12.14.33_1
2931,PHL.12.14.34_1
2932,PHL.12.14.35_1
2933,PHL.12.14.36_1
2934,PHL.12.14.37_1
2935,PHL.12.14.38_1
2936,PHL.12.14.39_1
2937,PHL.12.14.40_1
2938,PHL.12.14.44_1
2939,PHL.12.14.45_1
2940,PHL.12.14.46_1
2941,PHL.12.14.47_1
2942,PHL.12.14.48_1
2943,PHL.12.14.49_1
2944,PHL.12.14.50_1
2945,PHL.12.14.51_1
2946,PHL.12.14.52_1
2947,PHL.12.14.53_1
2948,PHL.12.14.54_1
2949,PHL.12.14.55_1
2952,PHL.12.14.58_1
2953,PHL.12.14.59_1
2954,PHL.12.14.60_1
2955,PHL.12.14.61_1
2957,PHL.12.14.64_1
2958,PHL.12.14.65_1
2959,PHL.12.14.66_1
2961,PHL.12.14.68_1
2962,PHL.12.14.69_1
2963,PHL.12.14.70_1
2964,PHL.12.14.71_1
2965,PHL.12.14.72_1
2966,PHL.12.14.9_1
3028,PHL.12.17.12_1
3029,PHL.12.17.13_1
3030,PHL.12.17.1_1
3031,PHL.12.17.3_1
3032,PHL.12.17.4_1
3033,PHL.12.17.5_1
3034,PHL.12.17.6_1
3035,PHL.12.17.7_1
3036,PHL.12.17.8_1
3039,PHL.12.17.11_1
3040,PHL.12.17.14_1
3041,PHL.12.17.15_1
3062,PHL.12.19.29_1
3065,PHL.12.19.17_1
3071,PHL.12.19.23_1
3102,PHL.12.1.3_1
3117,PHL.12.1.18_1
3122,PHL.12.20.2_1
3132,PHL.12.20.12_1
3135,PHL.12.20.15_1
3136,PHL.12.20.16_1
3149,PHL.12.21.15_1
3150,PHL.12.21.16_1
3152,PHL.12.21.19_1
3159,PHL.12.21.26_1
3160,PHL.12.21.27_1
3171,PHL.12.21.38_1
3178,PHL.12.21.45_1
3179,PHL.12.21.46_1
3187,PHL.12.22.1_1
3189,PHL.12.22.3_1
3190,PHL.12.22.4_1
3191,PHL.12.22.5_1
3192,PHL.12.22.6_1
3193,PHL.12.22.7_1
3194,PHL.12.22.8_1
3195,PHL.12.22.9_1
3198,PHL.12.22.12_1
3199,PHL.12.22.13_1
3200,PHL.12.22.14_1
3201,PHL.12.22.15_1
3202,PHL.12.22.16_1
3203,PHL.12.22.17_1
3204,PHL.12.22.18_1
3206,PHL.12.22.20_1
3207,PHL.12.22.21_1
3208,PHL.12.22.22_1
3209,PHL.12.22.23_1
3210,PHL.12.22.24_1
3211,PHL.12.22.25_1
3212,PHL.12.22.26_1
3213,PHL.12.22.27_1
