,gid_3
3113,PHL.10.3.14_1
3114,PHL.10.4.28_1
3117,PHL.10.3.15_1
3118,PHL.10.3.16_1
3119,PHL.10.3.17_1
3120,PHL.10.3.18_1
3121,PHL.10.3.19_1
3122,PHL.10.3.20_1
3123,PHL.10.3.21_1
3125,PHL.10.3.23_1
3126,PHL.10.3.24_1
3129,PHL.10.4.1_1
3131,PHL.10.4.3_1
3132,PHL.10.4.4_1
3133,PHL.10.4.5_1
3134,PHL.10.4.6_1
3135,PHL.10.4.7_1
3136,PHL.10.4.8_1
3137,PHL.10.4.9_1
3138,PHL.10.4.10_1
3139,PHL.10.4.11_1
3142,PHL.10.4.14_1
3143,PHL.10.4.15_1
3144,PHL.10.4.30_1
3145,PHL.10.4.16_1
3146,PHL.10.4.17_1
3147,PHL.10.4.18_1
3149,PHL.10.4.20_1
3151,PHL.10.4.22_1
3152,PHL.10.4.23_1
3153,PHL.10.4.24_1
3154,PHL.10.4.25_1
3155,PHL.10.4.26_1
3158,PHL.10.4.33_1
3159,PHL.10.4.34_1
3160,PHL.10.4.35_1
3161,PHL.10.4.36_1
3163,PHL.10.4.38_1
3164,PHL.10.4.39_1
3165,PHL.10.4.40_1
3166,PHL.10.4.41_1
3167,PHL.10.4.42_1
3168,PHL.10.4.43_1
3170,PHL.10.4.45_1
3171,PHL.10.5.3_1
3172,PHL.10.5.4_1
3174,PHL.10.5.6_1
3175,PHL.10.5.7_1
3176,PHL.10.5.8_1
3177,PHL.10.5.9_1
3178,PHL.10.5.10_1
3180,PHL.10.5.12_1
3183,PHL.10.5.14_1
3184,PHL.10.5.15_1
3186,PHL.10.5.17_1
3187,PHL.10.5.18_1
3189,PHL.10.5.20_1
3190,PHL.10.5.21_1
3192,PHL.10.5.22_1
3197,PHL.10.6.4_1
3201,PHL.10.6.6_1
3202,PHL.10.6.7_1
3203,PHL.10.6.8_1
3204,PHL.10.6.9_1
3205,PHL.10.6.10_1
3206,PHL.10.6.11_1
3207,PHL.10.6.12_1
3213,PHL.10.7.5_1
3218,PHL.10.9.10_1
3219,PHL.10.7.13_1
3220,PHL.10.7.14_1
3224,PHL.10.9.11_1
3225,PHL.10.9.12_1
3229,PHL.10.9.13_1
3230,PHL.10.10.2_1
3234,PHL.10.9.1_1
3235,PHL.10.9.2_1
3236,PHL.10.9.3_1
3237,PHL.10.9.4_1
3238,PHL.10.9.5_1
3239,PHL.10.9.6_1
3240,PHL.10.9.7_1
3241,PHL.10.9.8_1
3242,PHL.10.9.9_1
3245,PHL.10.9.15_1
3246,PHL.10.9.16_1
3247,PHL.10.9.17_1
3248,PHL.10.9.18_1
3249,PHL.10.9.19_1
3250,PHL.10.9.20_1
3252,PHL.10.9.22_1
3253,PHL.10.9.23_1
3255,PHL.10.9.25_1
3256,PHL.10.9.26_1
3257,PHL.10.9.27_1
3258,PHL.10.9.28_1
3260,PHL.10.10.3_1
3261,PHL.10.10.4_1
3262,PHL.10.10.5_1
3263,PHL.10.10.6_1
3264,PHL.10.10.7_1
3265,PHL.10.10.8_1
3266,PHL.10.10.9_1
3267,PHL.10.10.10_1
3268,PHL.10.10.19_1
3271,PHL.10.10.13_1
3272,PHL.10.10.14_1
3273,PHL.10.10.15_1
3274,PHL.10.10.16_1
3275,PHL.10.10.17_1
3276,PHL.10.10.18_1
3277,PHL.10.10.20_1
3278,PHL.10.10.21_1
3279,PHL.10.10.22_1
3280,PHL.10.10.23_1
3281,PHL.10.11.1_1
3282,PHL.10.11.2_1
3283,PHL.10.11.3_1
3284,PHL.10.11.4_1
3285,PHL.10.11.5_1
3286,PHL.10.11.6_1
3287,PHL.10.11.7_1
3289,PHL.10.12.13_1
3290,PHL.10.11.9_1
3291,PHL.10.11.10_1
3293,PHL.10.11.12_1
3295,PHL.10.11.14_1
3296,PHL.10.11.15_1
3297,PHL.10.11.16_1
3298,PHL.10.11.17_1
3299,PHL.10.11.18_1
3300,PHL.10.11.19_1
3302,PHL.10.12.1_1
3303,PHL.10.12.2_1
3305,PHL.10.12.4_1
3306,PHL.10.12.5_1
3307,PHL.10.12.6_1
3308,PHL.10.12.7_1
3309,PHL.10.12.8_1
3310,PHL.10.12.9_1
3311,PHL.10.12.10_1
3312,PHL.10.12.11_1
3313,PHL.10.12.12_1
3348,PHL.12.1.3_1
3359,PHL.12.3.5_1
3364,PHL.12.1.18_1
3370,PHL.12.2.3_1
3371,PHL.12.2.4_1
3372,PHL.12.2.5_1
3373,PHL.12.2.6_1
3374,PHL.12.3.6_1
3375,PHL.12.2.7_1
3376,PHL.12.2.8_1
3377,PHL.12.2.9_1
3378,PHL.12.2.10_1
3379,PHL.12.2.11_1
3388,PHL.12.3.1_1
3392,PHL.12.3.15_1
3393,PHL.12.3.16_1
3394,PHL.12.3.17_1
3398,PHL.12.3.21_1
3399,PHL.12.3.22_1
3406,PHL.12.3.29_1
3411,PHL.12.3.33_1
3412,PHL.12.3.34_1
3413,PHL.12.3.35_1
3414,PHL.12.3.36_1
3417,PHL.12.3.40_1
3418,PHL.12.3.41_1
3421,PHL.12.3.44_1
3425,PHL.12.3.48_1
3433,PHL.12.4.7_1
3442,PHL.12.5.1_1
3443,PHL.12.5.2_1
3444,PHL.12.5.3_1
3445,PHL.12.5.4_1
3446,PHL.12.5.5_1
3447,PHL.12.5.27_1
3448,PHL.12.5.6_1
3449,PHL.12.5.7_1
3450,PHL.12.5.8_1
3451,PHL.12.5.9_1
3452,PHL.12.5.10_1
3453,PHL.12.5.11_1
3454,PHL.12.5.12_1
3455,PHL.12.5.13_1
3456,PHL.12.5.14_1
3457,PHL.12.5.15_1
3458,PHL.12.5.16_1
3459,PHL.12.5.17_1
3460,PHL.12.5.18_1
3461,PHL.12.5.19_1
3462,PHL.12.5.20_1
3463,PHL.12.5.21_1
3464,PHL.12.5.22_1
3465,PHL.12.5.23_1
3466,PHL.12.5.24_1
3467,PHL.12.5.25_1
3468,PHL.12.5.28_1
3469,PHL.12.5.29_1
3470,PHL.12.5.30_1
3471,PHL.12.5.31_1
3473,PHL.12.5.33_1
3474,PHL.12.5.34_1
3475,PHL.12.5.35_1
3477,PHL.12.5.37_1
3478,PHL.12.7.6_1
3479,PHL.12.5.38_1
3481,PHL.12.5.40_1
3482,PHL.12.5.41_1
3486,PHL.12.7.7_1
3487,PHL.12.5.45_1
3488,PHL.12.5.46_1
3489,PHL.12.5.47_1
3490,PHL.12.5.48_1
